# M6 v11 canonical neutral chaoiton profile beta(r)
# ODE: beta'' + (2/r)beta' - (2/r^2)beta + lambda*beta + 4g*beta^3 = 0
"# g = 1.0, lambda = -0.26469686, m_J_raw = sqrt(-lambda) = 0.51448699"
"# eta = 0.42511430, H/Q_spherical = 2.11756090"
"# m_chi = 0.460004 MeV, m_J = 0.618427 MeV, C = 770.16 MeV*fm"
# natural length unit R_phys = hbar*c/m_e = 386.1593 fm
r_natural,r_fm,beta_natural,dbeta_dr_natural
1.02633977,396.3306,5.0710902759e-01,4.4350938685e-01
1.03313936,398.9563,5.1011798780e-01,4.4152507427e-01
1.03993895,401.5821,5.1311331627e-01,4.3949976035e-01
1.04673855,404.2078,5.1609473323e-01,4.3743316204e-01
1.05353814,406.8335,5.1906195703e-01,4.3532500640e-01
1.06033773,409.4592,5.2201470419e-01,4.3317503093e-01
1.06713732,412.0850,5.2495268950e-01,4.3098298386e-01
1.07393692,414.7107,5.2787562606e-01,4.2874862447e-01
1.08073651,417.3364,5.3078322538e-01,4.2647172339e-01
1.08753610,419.9621,5.3367519744e-01,4.2415206290e-01
1.09433570,422.5879,5.3655125080e-01,4.2178943724e-01
1.10113529,425.2136,5.3941109264e-01,4.1938365291e-01
1.10793488,427.8393,5.4225442888e-01,4.1693452894e-01
1.11473448,430.4651,5.4508096425e-01,4.1444189722e-01
1.12153407,433.0908,5.4789040238e-01,4.1190560276e-01
1.12833366,435.7165,5.5068244588e-01,4.0932550403e-01
1.13513325,438.3422,5.5345679648e-01,4.0670147317e-01
1.14193285,440.9680,5.5621315504e-01,4.0403339634e-01
1.14873244,443.5937,5.5895122173e-01,4.0132117393e-01
1.15553203,446.2194,5.6167069609e-01,3.9856472086e-01
1.16233163,448.8451,5.6437127711e-01,3.9576396689e-01
1.16913122,451.4709,5.6705266336e-01,3.9291885683e-01
1.17593081,454.0966,5.6971455311e-01,3.9002935079e-01
1.18273041,456.7223,5.7235664438e-01,3.8709542446e-01
1.18953000,459.3480,5.7497863509e-01,3.8411706929e-01
1.19632959,461.9738,5.7758022318e-01,3.8109429283e-01
1.20312918,464.5995,5.8016110665e-01,3.7802711889e-01
1.20992878,467.2252,5.8272098375e-01,3.7491558776e-01
1.21672837,469.8509,5.8525955306e-01,3.7175975641e-01
1.22352796,472.4767,5.8777651359e-01,3.6855969874e-01
1.23032756,475.1024,5.9027156493e-01,3.6531550575e-01
1.23712715,477.7281,5.9274440732e-01,3.6202728575e-01
1.24392674,480.3538,5.9519474183e-01,3.5869516450e-01
1.25072634,482.9796,5.9762227041e-01,3.5531928538e-01
1.25752593,485.6053,6.0002669608e-01,3.5189980955e-01
